sorry, I forgot he used to be a democrat. i'll say he's a democrat as much as ron paul and gary johnson are republicans.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
sorry, I forgot he used to be a democrat. i'll say he's a democrat as much as ron paul and gary johnson are republicans.
i don't know what you're referring to, but i'm curious if you give me enough to google on.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
i don't know what you're referring to, but i'm curious if you give me enough to google on.
according to online polls, % of all americans want bernie for president. he's definitely on track to replace president ron paul.
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
i don't know what you're referring to, but i'm curious if you give me enough to google on.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
sorry, I forgot he used to be a democrat. i'll say he's a democrat as much as ron paul and gary johnson are republicans.
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
i don't know what you're referring to, but i'm curious if you give me enough to google on.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
flashback to omg we're totally going to have a female president because hillary is in the lead more than a year away from the general election despite the fact that a shitload of people like a better candidate.
i don't know what you're referring to, but i'm curious if you give me enough to google on.
I would really like to talk about politics or news.
I would really like to talk about politics or news.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
i don't know what you're referring to, but i'm curious if you give me enough to google on.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
right now i'd say he's the first guy to it. if his form continues, he'll win it.
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
i don't know what you're referring to, but i'm curious if you give me enough to google on.
i don't know what you're referring to, but i'm curious if you give me enough to google on.
joe biden isn't running for president.
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
i don't know what you're referring to, but i'm curious if you give me enough to google on.
i don't know what you're referring to, but i'm curious if you give me enough to google on.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
i don't know what you're referring to, but i'm curious if you give me enough to google on.
i don't know what you're referring to, but i'm curious if you give me enough to google on.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
i don't know what you're referring to, but i'm curious if you give me enough to google on.
i don't know what you're referring to, but i'm curious if you give me enough to google on.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
i don't know what you're referring to, but i'm curious if you give me enough to google on.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
i don't know what you're referring to, but i'm curious if you give me enough to google on.
i don't know what you're referring to, but i'm curious if you give me enough to google on.
i don't know what you're referring to, but i'm curious if you give me enough to google on.
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
just like how we in the united states are gearing up for our mid-terms. go over to r politics and see if you can't spot the upcoming partisan narratives.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
i don't know what you're referring to, but i'm curious if you give me enough to google on.
i don't know what you're referring to, but i'm curious if you give me enough to google on.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
people said the same thing when obama ran for re-election and we know how that turned out. if hillary clinton is the democractic nominee, you can bet it won't be that simple for the republicans.
so what is the purpose of the libertarian party?
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
just like how we in the united states are gearing up for our mid-terms. go over to r politics and see if you can't spot the upcoming partisan narratives.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
i don't know what you're referring to, but i'm curious if you give me enough to google on.
joe biden isn't running for president.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
running as a democrat as a socialist as an independent. which is it??
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
i don't know what you're referring to, but i'm curious if you give me enough to google on.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
i don't know what you're referring to, but i'm curious if you give me enough to google on.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
i don't know what you're referring to, but i'm curious if you give me enough to google on.
joe biden isn't running for president.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
i don't know what you're referring to, but i'm curious if you give me enough to google on.
many people would be afraid to admit it, but you're right.
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
also, reagan's secretary of state george p. schultz en. wikipedia.org wasn't the prohibitive favorite for the democratic party's nomination for president.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
i don't know what you're referring to, but i'm curious if you give me enough to google on.
I would really like to talk about politics or news.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
i don't know what you're referring to, but i'm curious if you give me enough to google on.
i don't know what you're referring to, but i'm curious if you give me enough to google on.
people said the same thing when obama ran for re-election and we know how that turned out. if hillary clinton is the democractic nominee, you can bet it won't be that simple for the republicans.
i don't know what you're referring to, but i'm curious if you give me enough to google on.
right now i'd say he's the first guy to it. if his form continues, he'll win it.
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
people said the same thing when obama ran for re-election and we know how that turned out. if hillary clinton is the democractic nominee, you can bet it won't be that simple for the republicans.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
i don't know what you're referring to, but i'm curious if you give me enough to google on.
yes, mr. sanders. either he is a great liar or the next president to be assassinated. i'm not going to be responsible for either.
not sure what your argument is. are you saying that because only democrats and republicans have won a presidential election in the last years, that means I must only be one or the other?
