sentences,bias,subjectivity,vader,flesch-kincaid
come on you can do better than that. give him teeth - the whole personality. why do i let you talk me into these things? why? because we're pals - buddies - the two musketeers. don't give me the musketeers!  how'm i going to keep the guy ashore? tell him you get seasick on a yacht. play miniature golf with him. oh no.  i'm not getting caught in a miniature sand trap with that guy.,0.18242583766,0.45,0.3883,2.9
what was that all about? it's not like i'm some modern punk dickhead... it's obviously supposed to be a 1977 punk look but i guess johnny fuckface is too stupid to get it! i didn't get it either. everybody's too stupid!,-0.31996187714,0.7,-0.9592,2.9
it's just not enough. it's attitude...how you carry yourself. what's wrong with how i carry myself. nothing but it's yours. change it. change your whole persona. oh yeah to what? you'll be me. i don't want to be you. i don't even like you why would i want to be you? because you got my id. now brace yourself. i'm gonna try something with your glands. you leave my glands alone!,-0.46119767671,0.6,-0.7213,0.5
what about the gravimetric distortions? they'll tear us apart. risk is part of the game if you want to sit in that chair.,0.59805073204,0.4,-0.2023,1.3
with a milk pail in one hand and a marriage license in the other. why didn't you say you wanted to get married back in aspen. i told the man in sonora there were four of us. if only three show up he might call the whole deal off. we've got to stick together. like we've always done.,0.33294525294,0.405,0.6908,2.1
what? this? -- ok? i thought you could trick me for those tapes. don't you get lonely in that little green room? or let me get you someone i have terrific friends wild. no thanks.,0.13646344415,0.5143,0.8994,2.9
are you carrying a surgeon? we were until your torpedoes! then let me help!,0.1349197556,0.0,0.508,1.3
you see the bag has just been found and the reaction of relief from her former excitement and strain is just a little too much for her. it's not very serious but just the same we'd better not take any chances. just as you say doctor. thank you major. good day doctor. good day major.,0.51468738718,0.4038,0.953,2.1
the only reports of enemy activity have come from the direction of the royal kraal at ulundi. thank you.,-0.128637375,1.0,-0.25,9.5
"""what? what do you mean """"what?"""" what are you snickering about? i'm not snickering.  i'm smiling. because i'm happy. what am i missing?  what do you have to be happy about?""",0.06867541716,0.6844,0.6888,1.7
burn rubber does not mean <u>warp</u> <u>speed</u>! we blew it edgar!  we lost it!,0.00887947964,0.6875,-0.4898,1.3
-- no!  i can't go along with this horseshit!  just tell them they can fry me! what?! it was premeditated -- i knew exactly what i was doing!  i strangled her!  i bludgeoned her! i set her on fire!  i did it!  i killed her!,0.37412289014,0.25,-0.9296,0.5
yes i don't want you ever to leave this house. you must be out of your mind. i've been so happy these last few days -- now you've spoiled it all.,0.42099179631,0.3889,0.7917,1.3
squash is often used as a metaphor to represent a struggle for personal domination. serve. i was trying to educate you. just serve. in the same fashion as chess. what? chess. chess is often used as well. will you shut up and play. you're a bad loser. i haven't lost yet.,-0.12048582303,0.3639,-0.6044,2.5
some are ok. my friends laugh at me all the time laugh right in my face tell me go feed the moulies.,0.09651083525,0.3089,0.91,1.7
we didn't tell him any different for years -- your parents are divorced? since i was five. my mom's a cocktail waitress. how do you -- the two of you -- get by? materially or spiritually? either. both.,0.27887177079,0.3667,0.0,3.7
you truly are a dancing fool. yo black you looking for trouble.,-0.31056173633,0.3167,-0.4019,2.1
you know they gonna set us up. i get that feeling yeah. but you still think you can get the diamonds fore they do?,0.32827694618,0.0,0.2144,0.5
patrizia what are you going to do? what do you want us to do? i don't know myself... but we'll do something. i'll go and get my valise.,-0.11777898801,0.0,0.1306,-0.7
what's happening? i can't hear.  now there's a siren.  they must be in an ambulance.  what about the money?  nels? wonderful feeling of security knowing your adversaries are both crippled and unarmed. the money nels ... ?,0.30655113634,1.0,0.7622,4.1
you can save it for the jury charles. i want to hear you say under oath in front of a judge and a jury i'm a bad lawyer.  gentlemen.  counselor. don't do this andy.,-0.37505132888,0.6667,0.0,2.9
michael. shhhh.,-0.0417122,0.0,0.0,-4.2
you're not in a very good mood. you don't miss a thing.,-0.14296264384,0.78,-0.2912,-0.3
it's not my nature susie but i'll talk to you like an uncle... but i don't need an uncle sidney.,0.12081426651,0.0,0.5023,2.5
stay with me sir -- i need more power curve... how long scotty? 10 seconds admiral 5 - 4 - 3 - 2 - 1.,0.16934762879,0.45,0.3182,-2.6
i can't sleep with the closet door open either.  not even a crack.  your father doesn't mind though. it could be wide open for all he cared.  i think one of the reasons i divorced him was because he never believed... in the horror... of the <u>closet monster</u>! closet monster!?,0.22244191727,0.4667,0.5242,2.5
it's still not going to work! they'll detect you upon re-entry in an emergency vessel! who said i'll re-enter in the pod? i got friends out in space ryan friends willing to get me back unnoticed.  thank god for deregulation huh?,0.26636525357,0.45,0.846,2.9
