sentence,bias_score,assertive_verb_count,assertive_verb_prop,bias_count,bias_prop,coherence_marker_count,coherence_marker_prop,degree_modifier_count,degree_modifier_prop,factive_verb_count,factive_verb_prop,flesch-kincaid_grade_level,hedge_word_count,hedge_word_prop,implicative_verb_count,implicative_verb_prop,liwc_3rd_person_pronoum_count,liwc_3rd_person_pronoun_prop,liwc_achievement_word_count,liwc_achievement_word_prop,liwc_adverb_count,liwc_adverb_prop,liwc_auxiliary_verb_count,liwc_auxiliary_verb_prop,liwc_causation_word_count,liwc_causation_word_prop,liwc_certainty_word_count,liwc_certainty_word_prop,liwc_conjunction_count,liwc_conjunction_prop,liwc_discrepency_word_count,liwc_discrepency_word_prop,liwc_preposition_count,liwc_preposition_prop,liwc_tentative_word_count,liwc_tentative_word_prop,liwc_work_word_count,liwc_work_word_prop,modality,mood,opinion_count,opinion_prop,subjective_strong_count,subjective_strong_prop,subjective_weak_count,subjective_weak_prop,subjectivity_score,unique_word_count,vader_composite_sentiment,word_count
best smile and face and everything ! d i know ur talking about cole ! he does doesnt he ! p,1.3620091937,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,2,0.1111,1,0.0556,1,0.0556,2,0.1111,0,0,0,0,2,0.1111,0,0,1,0.0556,0,0,0,0,0.75,indicative,0,0,0,0,0,0,0.2,16,0.8213,18
r . i . p to the boy who lost his life today by lamar they say he 's still alive .,1.3096135757,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,3,0.1667,1,0.0556,1,0.0556,0,0,0,0,0,0,0,0,0,0,2,0.1111,0,0,0,0,0.25,indicative,0,0,0,0,0,0,0.4,18,0.0772,18
"noisettes , the group , what do you think of them ? i love them , but what about you ? what do you think of them ?",1.0078595545,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,3,0.1364,0,0,1,0.0455,2,0.0909,0,0,0,0,1,0.0455,0,0,3,0.1364,0,0,0,0,0.5,indicative,0,0,0,0,0,0,0.6,13,0.4836,22
"may magpakilala ba naman sayo na "" dakila "" pangalan ? ! yiyeah ! yung friend ko ! she wants me to call her dakilang stacey ! hahaha",0.9709979491,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,2,0.087,0,0,0,0,1,0.0435,0,0,0,0,0,0,1,0.0435,1,0.0435,1,0.0435,0,0,0.125,indicative,0,0,0,0,0,0,0.25,22,0.8388,23
ps i need to meet your new pup ! i saw a picture on fb and i almost melted ! so cute ! omg ! shes sooooooo cute . you really do have to meet her !,0.9430824007,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,2,0.0645,0,0,2,0.0645,3,0.0968,0,0,0,0,2,0.0645,1,0.0323,3,0.0968,1,0.0323,0,0,0.65,indicative,0,0,0,0,0,0,0.6636,26,0.8497,31
"is it okay for a girl to ask a guy to prom ? girl , yes . i did it ! lol",0.7719640434,0,0,0,0,0,0,0,0,0,0,-0.3,0,0,0,0,0,0,0,0,0,0,2,0.1111,0,0,0,0,0,0,0,0,3,0.1667,0,0,1,0.0556,1,indicative,0,0,0,0,0,0,0.6,14,0.7712,18
"see even agrees with me . we know what we are talking about if y 'all don 't "" finish the job "" . then its only mediocre lol . <number> . <number> % of guys want the "" full service women want the same thing . don 't play with it . a man has to know what he is doin . or i will tell him and instruct him haha",0.7571603134,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,3,0.0435,0,0,3,0.0435,4,0.058,0,0,0,0,4,0.058,3,0.0435,5,0.0725,2,0.029,0,0,0.5278,conditional,0,0,0,0,0,0,0.6125,54,0.8625,69
i work friday morning ! what time is everything goin down ? ? the <number> st oh im still debating if i wannna get a room or just vip somewhere,0.6814009841,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,2,0.069,2,0.069,0,0,0,0,2,0.069,1,0.0345,1,0.0345,2,0.069,0,0,1,indicative,0,0,0,0,0,0,0.2889,28,0.6062,29
"ruthless hoes . lol . no manners at all ! lol it 's like reaching over & eating off of someone else 's plate . won 't be long before they get that hand smacked ! what we talked about lastnight is a no go , i 'm done with her .",0.6706714852,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,2,0.0465,1,0.0233,1,0.0233,3,0.0698,0,0,1,0.0233,0,0,0,0,7,0.1628,0,0,0,0,0.75,indicative,0,0,0,0,0,0,0.7,41,0.9183,43
"en als ik honger hebt dan gebruik ik cannibalize he dooie mensen moet ook eten xd lol heb je op wow forum gezeten ofzo d nee met wow was ik undead natuurlijke , he soort zoekt soort ik ben worgen jonge die zijn veel beter d dikke weerwolf haha oke wie is dan een goblin ? ? ? xd eppo is goblin d die heeft hij toen gemaakt he ik yannick al gevonden in wow xd <url>",0.6296239547,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,3,0.04,0,0,0,0,3,0.04,0,0,0,0,0,0,0,0,1,0.0133,0,0,0,0,1,imperative,0,0,0,0,0,0,0.8,58,0.9696,75
