sentences,bias,subjectivity,vader,flesch-kincaid
**unknown** : gets enlightened then  as the channel is full  else use the dialoge **unknown** :d o you use a firewall ? directly attached to internet ? i take it you think someone is ssh'ing in and shutting his comp down ? what are u killing ? ah  s-saver,0.11756676425,0.4878,0.4696,5.2
um  question . i just upgraded to lucid  and now my xorg colors are dark . it 's bizarre . the mouse pointer is nice and bright  but everything else greenish ...? any suggestions ? please direct lucid questions to #ubuntu+1 thanks .,-0.01117865468,0.5667,0.8541,5.6
atis drivers destroyed my resolution  how can i fix this ? what gfx card ? x800gt i used envy to install the ati drivers cause they werent compatible with x 7.2 . 0 but it just trashed my **unknown** session  im on regular gnome session right now whats the max resolution you can get ? no idea  uhm 12xx x 800 did you get the proper resolution before installing the ati frivers ? envy changed my x . org automatically so i guess not so what exactly is the issue resolution or something else ? i'd guess resolution  the screens all  well  distorted and etc  lines going across the screen and nothing is readable like when you set a resolution the monitor cant handle um rite if its resolution then you have to add the resolution to your xorg do you know how to do that ? yeah have you done it yet ?,-0.40662506092,0.3125,-0.8283,6.0
hey folks . why is there no opera browser package in gutsy ? we have firefox **unknown** trashbin vista i know  but i like to use opera too sometimes  usually for testing purposes i'm sure i'm not alone there probly have it on there site,0.37210228783,0.5796,0.7724,11.5
! restricted > tibbe ! nvidia **unknown** there is an ie plugin for firefox but that whould not work on linux hehe  well you know i've had some success with active x plugins with ie on wine i have no idea why you whould want ie on linux but hey lol,0.02365470003,0.475,0.9244,18.5
"""hi all will it be possible  when breezy gets released  to upgrade from hoary without a hitch ? ( ie : not having to run apt-get -f install  or fiddling with xorg . conf ... ) i did it a week back without problems really ? i did it two weeks ago  and i had to run dpkg-reconfigure xserver-xorg had you previously hand tweaked your config files ? well ... it 's a good thing if it works :) something else ... is amarok 1.3 **unknown** not making it to breezy ? i see version : 2:1 . 3.1 -0ubuntu2 right now really ?! thats what """" apt-cache show amarok """" tells me **unknown**""",0.427846743,0.4902,0.9288,3.3
hello all  i just installed vmware server from the repos...it 's free right ? yes achoth  thanks guys you welcome,0.27048825853,0.6089,0.8979,2.1
"""help : in bash  how do i quickly move my cursor to the first character ? pressing """" home """" doesn't work ... ctrl+a thanks ! how about to the end of line ???""",0.2001403444,0.3444,0.7815,2.1
before making a apt-get dist-upgrade i have to do a apt-get update ? no need to re-update if you just did it just do ' sudo apt-get dist-upgrade ' no it stop after this error :( sorry - missed your followup,-0.07001661603,1.0,-0.9136,9.1
i have a small hoby web/mail/whatever server that i occasionaly run x from . what ubuntu distribution would probably be best for me ? what would be a sane way to add x to the server distribution of ubuntu ? i think maybe sudo apt-get install ubuntu-desktop is there some where on the ubuntu web page that lists what all comes in that package ? that should give you most the required packages i think . hmmm  dunno . hhmm . thanks . i'm contemplating moving my debian box over to ubuntu . i dunno if it 's worth the effort tho .,0.37392606478,0.3,0.8604,6.0
whats that other method of connecting to computers over the net ? **unknown** vpn i think well a lot of bussiness have their employees **unknown** using vpn i think .. why that over say .. ssh ? ahhh  it could be a vnc over vpn :o login remotely over a vpn and have a virtual desktop  anyhow grrrrr at my problem . why doesn't a remotely mounted filesystem have a path such a /media/ or /dev/ or etc ... for use in such programs as netbeans etc ..... vpn is better at graphics than ssh ? ssh is command line vnc usually has a gui .... vpn is just a communications protocol ... you need to learn to distinguish between them all otherwise you will confuse everyone you are talking to ssh is usually **unknown** thx .. dominicdinada .. your right i've used ssh from windows to my shared host account at godaddy and i used tinyvnc to take control of mom 's desktop upstairs .. but never been exposed to vpn i didn't even know you can vnc over vpn ssh from windows ? by default there is no client on windows for ssh  unless u got putty or something . putty is a ssh client in windows yea .. i used putty putty is totally different from windows . it runs on windows but not apart or installed on any windows machine . lol i know that .. sorry i phrased that wrong .. errr not packaged with any windows installs unless it is a installer built via waik or so anyhow grrrrr at my problem . why doesn't a remotely mounted filesystem have a path such a /media/ or /dev/ or etc ... for use in such programs as netbeans etc .....,-0.28940667745,0.513,-0.7526,4.4
can someone help me : ive got the via82xx chipset and the standard sounds in ubuntu work but try to play a audiocd or a oggfile and it does give a error . im working in ubuntu right now i think you may need to change your soundto alsa instead of esd ... i hve to tell im a n00b in ubuntu but can u explain me how i doe that all players give the same error **unknown** ???? something like that,-0.44034064342,0.3152,-0.644,6.0
anyone having problems with flash in firefox ? flash works for me it works for me too but badly have you tried reinstalling it ?,1.30013887168,0.6667,-0.7476,4.0
http://tinypic.com/r/2zyl9qh/6 pippin418 what are you trying to do ? just trying to get wireless working on the new laptop  just installed ubuntu about 20 minutes ago,0.2703963855,0.4545,0.0,6.8
hi  i can't find the . gnome folder in my home  i wanted to install a couple of scripts but there is no gnome folder there . shouldn't it be there from when i installed gimp ? go to view in nautilus and click show hidden files done that  there 's nowhere to be found really  are you running gnome ? yeap  gnome it is . should i reinstall gimp ? i am confused because if you don't have . gnome then a whole lot of other stuff my become a problem later ... you might try running sudo apt-get install ubuntu-desktop ... while it may already be installed .. there could be some packaging triggers in there that need to be processed done  but it says i've already got newest version and doesn't change anything,-0.27777104245,0.3347,-0.8702,5.2
