loading data...
487339 lines
sampling 1000 sentences and computing ['bias', 'subjectivity', 'vader', 'flesch-kincaid']...
collected features: (487336, 4)
+----------------------------+--------+--------------+--------+----------------+
|         sentences          |  bias  | subjectivity | vader  | flesch-kincaid |
+============================+========+==============+========+================+
| **unknown** : gets         | 0.118  | 0.488        | 0.470  | 5.200          |
| enlightened then  as the   |        |              |        |                |
| channel is full  else use  |        |              |        |                |
| the dialoge **unknown** :d |        |              |        |                |
| o you use a firewall ?     |        |              |        |                |
| directly attached to       |        |              |        |                |
| internet ? i take it you   |        |              |        |                |
| think someone is ssh'ing   |        |              |        |                |
| in and shutting his comp   |        |              |        |                |
| down ? what are u killing  |        |              |        |                |
| ? ah  s-saver              |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| um  question . i just      | -0.011 | 0.567        | 0.854  | 5.600          |
| upgraded to lucid  and now |        |              |        |                |
| my xorg colors are dark .  |        |              |        |                |
| it 's bizarre . the mouse  |        |              |        |                |
| pointer is nice and bright |        |              |        |                |
| but everything else        |        |              |        |                |
| greenish ...? any          |        |              |        |                |
| suggestions ? please       |        |              |        |                |
| direct lucid questions to  |        |              |        |                |
| #ubuntu+1 thanks .         |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| atis drivers destroyed my  | -0.407 | 0.312        | -0.828 | 6              |
| resolution  how can i fix  |        |              |        |                |
| this ? what gfx card ?     |        |              |        |                |
| x800gt i used envy to      |        |              |        |                |
| install the ati drivers    |        |              |        |                |
| cause they werent          |        |              |        |                |
| compatible with x 7.2 . 0  |        |              |        |                |
| but it just trashed my     |        |              |        |                |
| **unknown** session  im on |        |              |        |                |
| regular gnome session      |        |              |        |                |
| right now whats the max    |        |              |        |                |
| resolution you can get ?   |        |              |        |                |
| no idea  uhm 12xx x 800    |        |              |        |                |
| did you get the proper     |        |              |        |                |
| resolution before          |        |              |        |                |
| installing the ati frivers |        |              |        |                |
| ? envy changed my x . org  |        |              |        |                |
| automatically so i guess   |        |              |        |                |
| not so what exactly is the |        |              |        |                |
| issue resolution or        |        |              |        |                |
| something else ? i'd guess |        |              |        |                |
| resolution  the screens    |        |              |        |                |
| all  well  distorted and   |        |              |        |                |
| etc  lines going across    |        |              |        |                |
| the screen and nothing is  |        |              |        |                |
| readable like when you set |        |              |        |                |
