sentence	bias_score	assertive_verb_count	assertive_verb_prop	bias_count	bias_prop	coherence_marker_count	coherence_marker_prop	degree_modifier_count	degree_modifier_prop	factive_verb_count	factive_verb_prop	flesch-kincaid_grade_level	hedge_word_count	hedge_word_prop	implicative_verb_count	implicative_verb_prop	liwc_3rd_person_pronoum_count	liwc_3rd_person_pronoun_prop	liwc_achievement_word_count	liwc_achievement_word_prop	liwc_adverb_count	liwc_adverb_prop	liwc_auxiliary_verb_count	liwc_auxiliary_verb_prop	liwc_causation_word_count	liwc_causation_word_prop	liwc_certainty_word_count	liwc_certainty_word_prop	liwc_conjunction_count	liwc_conjunction_prop	liwc_discrepency_word_count	liwc_discrepency_word_prop	liwc_preposition_count	liwc_preposition_prop	liwc_tentative_word_count	liwc_tentative_word_prop	liwc_work_word_count	liwc_work_word_prop	modality	mood	opinion_count	opinion_prop	subjective_strong_count	subjective_strong_prop	subjective_weak_count	subjective_weak_prop	subjectivity_score	unique_word_count	vader_composite_sentiment	word_count
never used wine so i don't know if it is supposed to reboot software center should not mater though why would he need synaptic ? apt-get , apt-cache and aptitude should do it right did i say he needed it ? you mention it trying luck as his best option , which it isn't	1.4364558069	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0.0577	2	0.0385	2	0.0385	8	0.1538	2	0.0385	1	0.0192	5	0.0962	6	0.1154	2	0.0385	4	0.0769	0	0	0	conditional	0	0	0	0	0	0	0.3119	42	0.8205	52
hi , i have 12.04 beta 2 , do i need to upgrade it ? if yes , how ? id wait a day or two ok , thanks .	0.9993540052	0	0	0	0	0	0	0	0	0	0	-1.8	0	0	0	0	0	0	0	0	1	0.0435	3	0.1304	1	0.0435	0	0	3	0.1304	2	0.087	1	0.0435	2	0.087	0	0	0.75	indicative	0	0	0	0	0	0	0.35	22	0.7998	23
whoops ! needs a better bra . :-) that wasn't what popped out , dammit )	0.9511460444	0	0	0	0	0	0	0	0	0	0	-0.7	0	0	0	0	0	0	1	0.0667	0	0	1	0.0667	0	0	0	0	0	0	1	0.0667	1	0.0667	0	0	0	0	1	indicative	0	0	0	0	0	0	0.75	14	0.6696	15
if i'm using 10.04 **unknown** and i want to upgrade to 12.04 **unknown** directly , what is the best suggested option ? do update and take a nap lol :) stefg davis776 i wish if lts to lts dist-upgrades were kind of stable process . better to ask a pro i am kinda new to this but i think it should work fine	0.8626421918	0	0	0	0	0	0	1	0.0164	0	0	2.9	0	0	0	0	0	0	2	0.0328	0	0	5	0.082	1	0.0164	1	0.0164	5	0.082	5	0.082	6	0.0984	4	0.0656	0	0	0.3	conditional	0	0	0	0	0	0	0.5955	48	0.898	61
if i'm using 10.04 **unknown** and i want to upgrade to 12.04 **unknown** directly , what is the best suggested option ? to be honest .... backup your files and reinstall . :) stefg davis776 i wish if lts to lts dist-upgrades were kind of stable process . but *do* a backup first . there had been tons of changes from 10.04 to 12.04 so breakage is to be expected canonical is trying to get that right sinc 6.06 ..... and still trying :-)	0.7638801552	0	0	0	0	0	0	1	0.0122	0	0	0.9	0	0	0	0	0	0	4	0.0488	3	0.0366	8	0.0976	2	0.0244	1	0.0122	7	0.0854	4	0.0488	10	0.122	3	0.0366	0	0	0.5417	indicative	0	0	0	0	0	0	0.6335	59	0.9145	82
http://uptime.netcraft.com/up/graph?site=www.ubuntu.com ah they're still on apache2 they should switch to nginx i've never tried nginx ... but i saw they had an update .... what makes it better ? http://en.wikipedia.org/wiki/nginx you use ltsp in an educational setting ? and rawhite have you used italc for enterprise management ? maybe traning room labs or the like ? nope , never heard of it . url ? **unknown**	0.7320551064	0	0	0	0	0	0	0	0	0	0	7.6	0	0	0	0	3	0.0469	2	0.0313	2	0.0313	3	0.0469	3	0.0469	2	0.0313	3	0.0469	1	0.0156	5	0.0781	2	0.0313	0	0	0.375	conditional	0	0	0	0	0	0	0.45	54	0.8426	64
you've already uploaded the biarch ones ? first biarch test succeeded :) any packages already built and uploaded with **unknown** 3.4 ? not to my knowledge . i want to fix grub first , as soon as that is there , base should be fully installable do you have an i386 system nearby and could test that the patch doesn't break i386 ?	0.7221935084	0	0	0	0	2	0.0339	0	0	0	0	5.2	1	0.0169	0	0	0	0	2	0.0339	2	0.0339	7	0.1186	0	0	0	0	4	0.0678	3	0.0508	5	0.0847	1	0.0169	2	0.0339	0.1346	indicative	0	0	0	0	0	0	0.6533	47	0.7677	59
has 12.04 gotten released yet ? ah ok .. but its today right ? oh i thought today was the big release date ah ok .. ill try to sit on my thumb then its suppsoed to yes . im mostly concerned if 12.04 will still have unity or if they finally ditched it unity stay you have many choices berween de or wm desktop environment window manager like ikonia said unity is ubuntu shell for future but you can install some other de if you like yeah .	0.7185086475	0	0	0	0	0	0	0	0	0	0	4.8	0	0	0	0	1	0.0118	1	0.0118	3	0.0353	8	0.0941	0	0	0	0	8	0.0941	3	0.0353	4	0.0471	7	0.0824	0	0	0.4125	conditional	0	0	0	0	0	0	0.5136	67	0.9171	85
my 12.04 installlation stucked on almost finished copying files ... do it again might be lucky this time blez i wonder if i restart , will it continue the installation	0.705134079	0	0	0	0	1	0.0345	0	0	0	0	7.6	0	0	0	0	0	0	0	0	1	0.0345	4	0.1379	0	0	0	0	1	0.0345	1	0.0345	1	0.0345	5	0.1724	0	0	0.25	conditional	0	0	0	0	0	0	0.8333	27	0.4215	29
http://uptime.netcraft.com/up/graph?site=www.ubuntu.com ah they're still on apache2 they should switch to nginx what makes you say that ? experience	0.689342085	0	0	0	0	0	0	0	0	0	0	13.5	0	0	0	0	2	0.1	0	0	1	0.05	1	0.05	1	0.05	0	0	0	0	1	0.05	2	0.1	0	0	0	0	0.25	indicative	0	0	0	0	0	0	0	19	0	20
ok , i haven't taken the c3 out of its box yet actually , but remind me tomorrow or if it 's more urgent i'll make time this evening it 's getting quite scary well , clearly you have no need for that grey pos and can send it to me ) you have an amd64 ? not quite yet rad right the xresprobe package , i mean right well , note the above if you ever need to use xresprobe for anything **unknown** or whatever :) i plan not to touch x if i can help it , but thanks :)	0.6818259391	0	0	0	0	1	0.0105	0	0	0	0	16.5	0	0	0	0	0	0	1	0.0105	7	0.0737	5	0.0526	2	0.0211	2	0.0211	8	0.0842	5	0.0526	8	0.0842	8	0.0842	0	0	0.3056	conditional	0	0	0	0	0	0	0.5173	64	0.9701	95
i'm in wooten with jeff and some other guys any reason why i need to join there ? no **unknown** in fact already heard about such problem ? jdub is waiting for the new **unknown** packages to fix **unknown** i was kind of waiting for **unknown** packages in debian to spare some work , usually he packages them pretty quickly well the problem is that warty is not installable atm . and all dailys are crack outch , ok ok thanks . pinf gnome-games anything simple that works is fine . i don't need anything fancy qcad looks good :) about #1045 , you're sure the buffer is lost ? iirc you can switch back to the console	0.6776509444	0	0	0	0	1	0.0088	1	0.0088	0	0	5.6	0	0	0	0	2	0.0177	2	0.0177	7	0.0619	9	0.0796	1	0.0088	2	0.0177	2	0.0177	2	0.0177	13	0.115	7	0.0619	1	0.0088	0.375	indicative	0	0	0	0	0	0	0.5463	82	0.9252	113
does anyone know when the amis will be updated ? http://cloud.ubuntu.com/ami/ they're working on it , you may want to hang out in #ubuntu-server if you are waiting on an update . thanks !	0.6766649924	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0.0303	0	0	1	0.0303	5	0.1515	0	0	0	0	2	0.0606	2	0.0606	5	0.1515	2	0.0606	0	0	0.3333	conditional	0	0	0	0	0	0	0.2	31	0.5411	33
thanks bhaisahab get to master the command line thank you yes , running it now	0.6448573505	0	0	0	0	0	0	0	0	0	0	5.2	0	0	0	0	0	0	1	0.0714	1	0.0714	0	0	0	0	0	0	0	0	0	0	1	0.0714	0	0	0	0	1	indicative	0	0	0	0	0	0	0.2	14	0.7964	14
oh , random point ... we're listed as **unknown** ltd here thanks . that 's actually rather useful to know :) # ? sub-process /usr/bin/dpkg returned an error code ( 1 )	0.6156035346	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0	0	0	0	3	0.1034	0	0	0	0	0	0	1	0.0345	1	0.0345	2	0.069	0	0	1	0.0345	0.75	indicative	0	0	0	0	0	0	0.4	28	0.7269	29
can somebody reply to me , i need to check if the color is readable now i need somebody to type **unknown** : test yes we see you thanks , previously the the name of the person replying to me was yellow and unreadable ahhh , the colour choices can get a bit over the top sometimes	0.6008828314	0	0	0	0	0	0	0	0	0	0	21.6	0	0	0	0	0	0	1	0.0189	1	0.0189	4	0.0755	0	0	0	0	2	0.0377	3	0.0566	6	0.1132	2	0.0377	1	0.0189	0.2143	conditional	0	0	0	0	0	0	0.2933	40	0.7506	53
"working acpi , i gotta hope :) are you still planning on doing an article on acpi at some point ? yes looks like the netapplet has the same bug about the notification area disappearing that many apps have , sigh which one is that ? this one 's caused by c&p from broken code in libegg example . rhythmbox and gnome-obex-server get it right . if i get the energy i'll make a patch thanks - that sounds good **unknown** cool . i'll likely bug you a little :) the acpi-support scripts there ought to do suspend/resume on your machine , too cool . i'll report back . your packages are ok to use with warty ? should be , yup so s3 works nice with that kernel . is there anything i need to do specially to get swusp functioning ? you need to add a resume line to your kernel command line options ok , done that but no luck . i'll look harder .. your kernel doesn't want to play well with vga16fb in the initrd ( the 2.6 . 8.1 did ) any ideas ? i also get a slew of "" error : removing ' **unknown** device or resource busy "" at the beginning of the boot modprobing fbcon fixes the console issue , tho i don't know why it differs between yr kernel and the previous one"	0.6000942902	0	0	0	0	1	0.0045	0	0	0	0	4.8	0	0	0	0	0	0	2	0.009	10	0.0452	16	0.0724	3	0.0136	0	0	8	0.0362	7	0.0317	23	0.1041	7	0.0317	4	0.0181	0.5521	conditional	0	0	0	0	0	0	0.5181	149	0.917	221
