token,male_count,female_count,unbiased_count,male_perc,female_perc
The secretary,113.0,23.0,864.0,0.830882352941,0.169117647059
The sociologist,69.0,19.0,912.0,0.784090909091,0.215909090909
The photographer,173.0,47.0,780.0,0.786363636364,0.213636363636
The clerk,89.0,31.0,880.0,0.741666666667,0.258333333333
The nurse,136.0,49.0,815.0,0.735135135135,0.264864864865
The hooker,81.0,28.0,891.0,0.743119266055,0.256880733945
The pediatrician,55.0,23.0,922.0,0.705128205128,0.294871794872
The librarian,70.0,27.0,903.0,0.721649484536,0.278350515464
The registered nurse,127.0,35.0,838.0,0.783950617284,0.216049382716
The environmentalist,63.0,29.0,908.0,0.684782608696,0.315217391304
The treasurer,112.0,39.0,849.0,0.741721854305,0.258278145695
The paralegal,63.0,10.0,927.0,0.86301369863,0.13698630137
The performer,72.0,23.0,905.0,0.757894736842,0.242105263158
The steward,111.0,33.0,856.0,0.770833333333,0.229166666667
The publicist,119.0,19.0,862.0,0.86231884058,0.13768115942
The councilor,59.0,24.0,917.0,0.710843373494,0.289156626506
The waitress,70.0,25.0,905.0,0.736842105263,0.263157894737
The businesswoman,79.0,24.0,897.0,0.766990291262,0.233009708738
The therapist,85.0,49.0,866.0,0.634328358209,0.365671641791
The receptionist,86.0,26.0,888.0,0.767857142857,0.232142857143
The soloist,77.0,21.0,902.0,0.785714285714,0.214285714286
The counselor,75.0,19.0,906.0,0.797872340426,0.202127659574
The bookkeeper,79.0,29.0,892.0,0.731481481481,0.268518518519
The hairdresser,141.0,32.0,827.0,0.815028901734,0.184971098266
The maid,92.0,32.0,876.0,0.741935483871,0.258064516129
The choreographer,66.0,34.0,900.0,0.66,0.34
The lyricist,64.0,21.0,915.0,0.752941176471,0.247058823529
The vocalist,64.0,29.0,907.0,0.688172043011,0.311827956989
The soft spoken,68.0,21.0,911.0,0.76404494382,0.23595505618
The stylist,78.0,26.0,896.0,0.75,0.25
The interior designer,127.0,31.0,842.0,0.803797468354,0.196202531646
The fashion designer,118.0,46.0,836.0,0.719512195122,0.280487804878
The radiologist,69.0,18.0,913.0,0.793103448276,0.206896551724
The nanny,84.0,32.0,884.0,0.724137931034,0.275862068966
The dancer,145.0,38.0,817.0,0.792349726776,0.207650273224
The realtor,53.0,18.0,929.0,0.746478873239,0.253521126761
The psychiatrist,95.0,36.0,869.0,0.725190839695,0.274809160305
The undersecretary,118.0,41.0,841.0,0.74213836478,0.25786163522
The educator,62.0,25.0,913.0,0.712643678161,0.287356321839
The caretaker,72.0,19.0,909.0,0.791208791209,0.208791208791
The naturalist,65.0,28.0,907.0,0.698924731183,0.301075268817
The artist,178.0,39.0,783.0,0.820276497696,0.179723502304
The advocate,92.0,23.0,885.0,0.8,0.2
The mediator,121.0,33.0,846.0,0.785714285714,0.214285714286
The poet,145.0,32.0,823.0,0.819209039548,0.180790960452
The teacher,124.0,74.0,802.0,0.626262626263,0.373737373737
The pianist,106.0,54.0,840.0,0.6625,0.3375
The singer,119.0,95.0,786.0,0.556074766355,0.443925233645
The instructor,81.0,31.0,888.0,0.723214285714,0.276785714286
The nun,59.0,30.0,911.0,0.662921348315,0.337078651685

