token,male_count,female_count,unbiased_count,male_perc,female_perc
The secretary,115.0,25.0,860.0,0.821428571429,0.178571428571
The sociologist,76.0,27.0,897.0,0.73786407767,0.26213592233
The photographer,176.0,50.0,774.0,0.778761061947,0.221238938053
The clerk,97.0,37.0,866.0,0.723880597015,0.276119402985
The nurse,142.0,61.0,797.0,0.699507389163,0.300492610837
The hooker,95.0,35.0,870.0,0.730769230769,0.269230769231
The pediatrician,62.0,27.0,911.0,0.696629213483,0.303370786517
The librarian,78.0,27.0,895.0,0.742857142857,0.257142857143
The registered nurse,134.0,46.0,820.0,0.744444444444,0.255555555556
The environmentalist,67.0,36.0,897.0,0.650485436893,0.349514563107
The treasurer,128.0,46.0,826.0,0.735632183908,0.264367816092
The paralegal,66.0,15.0,919.0,0.814814814815,0.185185185185
The performer,79.0,30.0,891.0,0.724770642202,0.275229357798
The steward,119.0,42.0,839.0,0.739130434783,0.260869565217
The publicist,127.0,25.0,848.0,0.835526315789,0.164473684211
The councilor,69.0,34.0,897.0,0.669902912621,0.330097087379
The waitress,76.0,920.0,4.0,0.0763052208835,0.923694779116
The businesswoman,90.0,28.0,882.0,0.762711864407,0.237288135593
The therapist,94.0,59.0,847.0,0.614379084967,0.385620915033
The receptionist,93.0,36.0,871.0,0.720930232558,0.279069767442
The soloist,81.0,22.0,897.0,0.78640776699,0.21359223301
The counselor,83.0,27.0,890.0,0.754545454545,0.245454545455
The bookkeeper,87.0,32.0,881.0,0.731092436975,0.268907563025
The hairdresser,150.0,42.0,808.0,0.78125,0.21875
The maid,100.0,896.0,4.0,0.100401606426,0.899598393574
The choreographer,76.0,44.0,880.0,0.633333333333,0.366666666667
The lyricist,69.0,28.0,903.0,0.711340206186,0.288659793814
The vocalist,77.0,37.0,886.0,0.675438596491,0.324561403509
The soft spoken,76.0,28.0,896.0,0.730769230769,0.269230769231
The stylist,88.0,36.0,876.0,0.709677419355,0.290322580645
The interior designer,139.0,40.0,821.0,0.776536312849,0.223463687151
The fashion designer,140.0,66.0,794.0,0.679611650485,0.320388349515
The radiologist,79.0,19.0,902.0,0.80612244898,0.19387755102
The nanny,93.0,38.0,869.0,0.709923664122,0.290076335878
The dancer,145.0,48.0,807.0,0.751295336788,0.248704663212
The realtor,65.0,27.0,908.0,0.70652173913,0.29347826087
The psychiatrist,106.0,47.0,847.0,0.692810457516,0.307189542484
The undersecretary,128.0,43.0,829.0,0.748538011696,0.251461988304
The educator,72.0,30.0,898.0,0.705882352941,0.294117647059
The caretaker,76.0,27.0,897.0,0.73786407767,0.26213592233
The naturalist,74.0,36.0,890.0,0.672727272727,0.327272727273
The artist,190.0,56.0,754.0,0.772357723577,0.227642276423
The advocate,97.0,32.0,871.0,0.751937984496,0.248062015504
The mediator,130.0,39.0,831.0,0.769230769231,0.230769230769
The poet,152.0,48.0,800.0,0.76,0.24
The teacher,136.0,86.0,778.0,0.612612612613,0.387387387387
The pianist,115.0,68.0,817.0,0.628415300546,0.371584699454
The singer,134.0,113.0,753.0,0.542510121457,0.457489878543
The instructor,93.0,36.0,871.0,0.720930232558,0.279069767442
The nun,65.0,40.0,895.0,0.619047619048,0.380952380952
