token,male_count,female_count,unbiased_count,male_perc,female_perc
The secretary,105.0,32.0,863.0,0.766423357664,0.233576642336
The sociologist,102.0,24.0,874.0,0.809523809524,0.190476190476
The photographer,147.0,37.0,816.0,0.798913043478,0.201086956522
The clerk,159.0,32.0,809.0,0.832460732984,0.167539267016
The nurse,144.0,44.0,812.0,0.765957446809,0.234042553191
The hooker,88.0,33.0,879.0,0.727272727273,0.272727272727
The pediatrician,109.0,39.0,852.0,0.736486486486,0.263513513514
The librarian,94.0,42.0,864.0,0.691176470588,0.308823529412
The registered nurse,108.0,66.0,826.0,0.620689655172,0.379310344828
The environmentalist,69.0,20.0,911.0,0.775280898876,0.224719101124
The treasurer,108.0,36.0,856.0,0.75,0.25
The paralegal,68.0,37.0,895.0,0.647619047619,0.352380952381
The performer,90.0,29.0,881.0,0.756302521008,0.243697478992
The steward,88.0,28.0,884.0,0.758620689655,0.241379310345
The publicist,146.0,44.0,810.0,0.768421052632,0.231578947368
The councilor,96.0,22.0,882.0,0.813559322034,0.186440677966
The waitress,74.0,924.0,2.0,0.0741482965932,0.925851703407
The businesswoman,90.0,10.0,900.0,0.9,0.1
The therapist,100.0,29.0,871.0,0.77519379845,0.22480620155
The receptionist,88.0,27.0,885.0,0.765217391304,0.234782608696
The soloist,89.0,35.0,876.0,0.717741935484,0.282258064516
The counselor,103.0,41.0,856.0,0.715277777778,0.284722222222
The bookkeeper,95.0,32.0,873.0,0.748031496063,0.251968503937
The hairdresser,105.0,37.0,858.0,0.739436619718,0.260563380282
The maid,71.0,925.0,4.0,0.0712851405622,0.928714859438
The choreographer,80.0,31.0,889.0,0.720720720721,0.279279279279
The lyricist,101.0,24.0,875.0,0.808,0.192
The vocalist,102.0,35.0,863.0,0.744525547445,0.255474452555
The soft spoken,77.0,38.0,885.0,0.669565217391,0.330434782609
The stylist,75.0,24.0,901.0,0.757575757576,0.242424242424
The interior designer,120.0,43.0,837.0,0.736196319018,0.263803680982
The fashion designer,111.0,63.0,826.0,0.637931034483,0.362068965517
The radiologist,80.0,37.0,883.0,0.683760683761,0.316239316239
The nanny,80.0,24.0,896.0,0.769230769231,0.230769230769
The dancer,99.0,25.0,876.0,0.798387096774,0.201612903226
The realtor,90.0,26.0,884.0,0.775862068966,0.224137931034
The psychiatrist,96.0,32.0,872.0,0.75,0.25
The undersecretary,92.0,26.0,882.0,0.779661016949,0.220338983051
The educator,74.0,30.0,896.0,0.711538461538,0.288461538462
The caretaker,76.0,43.0,881.0,0.638655462185,0.361344537815
The naturalist,81.0,31.0,888.0,0.723214285714,0.276785714286
The artist,194.0,45.0,761.0,0.811715481172,0.188284518828
The advocate,78.0,33.0,889.0,0.702702702703,0.297297297297
The mediator,84.0,27.0,889.0,0.756756756757,0.243243243243
The poet,133.0,42.0,825.0,0.76,0.24
The teacher,122.0,57.0,821.0,0.68156424581,0.31843575419
The pianist,74.0,21.0,905.0,0.778947368421,0.221052631579
The singer,152.0,124.0,724.0,0.550724637681,0.449275362319
The instructor,86.0,33.0,881.0,0.72268907563,0.27731092437
The nun,94.0,29.0,877.0,0.764227642276,0.235772357724

