token,male_count,female_count,unbiased_count,male_perc,female_perc
The stockbroker,64.0,28.0,908.0,0.695652173913,0.304347826087
The mobster,79.0,25.0,896.0,0.759615384615,0.240384615385
The editor,120.0,31.0,849.0,0.794701986755,0.205298013245
The parliamentarian,72.0,19.0,909.0,0.791208791209,0.208791208791
The marksman,66.0,21.0,913.0,0.758620689655,0.241379310345
The composer,151.0,48.0,801.0,0.758793969849,0.241206030151
The administrator,117.0,25.0,858.0,0.823943661972,0.176056338028
The physician,129.0,45.0,826.0,0.741379310345,0.258620689655
The crooner,80.0,16.0,904.0,0.833333333333,0.166666666667
The baron,101.0,35.0,864.0,0.742647058824,0.257352941176
The pundit,82.0,26.0,892.0,0.759259259259,0.240740740741
The doctor,169.0,42.0,789.0,0.800947867299,0.199052132701
The curator,118.0,38.0,844.0,0.75641025641,0.24358974359
The electrician,90.0,30.0,880.0,0.75,0.25
The archbishop,134.0,25.0,841.0,0.842767295597,0.157232704403
The laborer,54.0,19.0,927.0,0.739726027397,0.260273972603
The astronaut,127.0,19.0,854.0,0.869863013699,0.130136986301
The researcher,110.0,28.0,862.0,0.797101449275,0.202898550725
The colonel,133.0,29.0,838.0,0.820987654321,0.179012345679
The anthropologist,61.0,22.0,917.0,0.734939759036,0.265060240964
The footballer,106.0,21.0,873.0,0.834645669291,0.165354330709
The campaigner,83.0,27.0,890.0,0.754545454545,0.245454545455
The scholar,132.0,29.0,839.0,0.819875776398,0.180124223602
The alderman,74.0,17.0,909.0,0.813186813187,0.186813186813
The tycoon,132.0,33.0,835.0,0.8,0.2
The minister,131.0,36.0,833.0,0.784431137725,0.215568862275
The photojournalist,66.0,21.0,913.0,0.758620689655,0.241379310345
The midfielder,197.0,14.0,789.0,0.9336492891,0.0663507109005
The provost,86.0,16.0,898.0,0.843137254902,0.156862745098
The narrator,73.0,29.0,898.0,0.71568627451,0.28431372549
The consultant,102.0,38.0,860.0,0.728571428571,0.271428571429
The custodian,68.0,25.0,907.0,0.731182795699,0.268817204301
The welder,58.0,25.0,917.0,0.698795180723,0.301204819277
The trader,108.0,36.0,856.0,0.75,0.25
The serviceman,90.0,27.0,883.0,0.769230769231,0.230769230769
The officer,189.0,43.0,768.0,0.814655172414,0.185344827586
The assistant professor,67.0,27.0,906.0,0.712765957447,0.287234042553
The pharmacist,69.0,23.0,908.0,0.75,0.25
The evangelist,61.0,22.0,917.0,0.734939759036,0.265060240964
The warrior,78.0,27.0,895.0,0.742857142857,0.257142857143
The surgeon,144.0,62.0,794.0,0.699029126214,0.300970873786
The barber,76.0,23.0,901.0,0.767676767677,0.232323232323
The bodyguard,87.0,32.0,881.0,0.731092436975,0.268907563025
The saint,85.0,21.0,894.0,0.801886792453,0.198113207547
The lawmaker,119.0,33.0,848.0,0.782894736842,0.217105263158
The trumpeter,66.0,17.0,917.0,0.795180722892,0.204819277108
The broadcaster,80.0,25.0,895.0,0.761904761905,0.238095238095
The cameraman,60.0,18.0,922.0,0.769230769231,0.230769230769
The butler,80.0,26.0,894.0,0.754716981132,0.245283018868
The comic,67.0,26.0,907.0,0.720430107527,0.279569892473
