token,male_count,female_count,unbiased_count,male_perc,female_perc
The stockbroker,70.0,34.0,896.0,0.673076923077,0.326923076923
The mobster,86.0,33.0,881.0,0.72268907563,0.27731092437
The editor,130.0,45.0,825.0,0.742857142857,0.257142857143
The parliamentarian,83.0,25.0,892.0,0.768518518519,0.231481481481
The marksman,75.0,28.0,897.0,0.728155339806,0.271844660194
The composer,155.0,65.0,780.0,0.704545454545,0.295454545455
The administrator,130.0,36.0,834.0,0.78313253012,0.21686746988
The physician,143.0,53.0,804.0,0.729591836735,0.270408163265
The crooner,94.0,27.0,879.0,0.776859504132,0.223140495868
The baron,117.0,52.0,831.0,0.692307692308,0.307692307692
The pundit,87.0,33.0,880.0,0.725,0.275
The doctor,176.0,56.0,768.0,0.758620689655,0.241379310345
The curator,127.0,45.0,828.0,0.738372093023,0.261627906977
The electrician,99.0,40.0,861.0,0.712230215827,0.287769784173
The archbishop,151.0,34.0,815.0,0.816216216216,0.183783783784
The laborer,58.0,26.0,916.0,0.690476190476,0.309523809524
The astronaut,139.0,30.0,831.0,0.822485207101,0.177514792899
The researcher,116.0,34.0,850.0,0.773333333333,0.226666666667
The colonel,151.0,36.0,813.0,0.807486631016,0.192513368984
The anthropologist,70.0,27.0,903.0,0.721649484536,0.278350515464
The footballer,110.0,30.0,860.0,0.785714285714,0.214285714286
The campaigner,94.0,31.0,875.0,0.752,0.248
The scholar,138.0,35.0,827.0,0.797687861272,0.202312138728
The alderman,77.0,21.0,902.0,0.785714285714,0.214285714286
The tycoon,138.0,41.0,821.0,0.77094972067,0.22905027933
The minister,143.0,39.0,818.0,0.785714285714,0.214285714286
The photojournalist,73.0,28.0,899.0,0.722772277228,0.277227722772
The midfielder,207.0,15.0,778.0,0.932432432432,0.0675675675676
The provost,90.0,27.0,883.0,0.769230769231,0.230769230769
The narrator,84.0,33.0,883.0,0.717948717949,0.282051282051
The consultant,109.0,52.0,839.0,0.67701863354,0.32298136646
The custodian,75.0,29.0,896.0,0.721153846154,0.278846153846
The welder,66.0,31.0,903.0,0.680412371134,0.319587628866
The trader,118.0,45.0,837.0,0.723926380368,0.276073619632
The serviceman,100.0,35.0,865.0,0.740740740741,0.259259259259
The officer,199.0,49.0,752.0,0.802419354839,0.197580645161
The assistant professor,85.0,42.0,873.0,0.669291338583,0.330708661417
The pharmacist,77.0,34.0,889.0,0.693693693694,0.306306306306
The evangelist,67.0,27.0,906.0,0.712765957447,0.287234042553
The warrior,93.0,37.0,870.0,0.715384615385,0.284615384615
The surgeon,152.0,72.0,776.0,0.678571428571,0.321428571429
The barber,87.0,30.0,883.0,0.74358974359,0.25641025641
The bodyguard,93.0,35.0,872.0,0.7265625,0.2734375
The saint,102.0,31.0,867.0,0.766917293233,0.233082706767
The lawmaker,125.0,35.0,840.0,0.78125,0.21875
The trumpeter,73.0,22.0,905.0,0.768421052632,0.231578947368
The broadcaster,95.0,37.0,868.0,0.719696969697,0.280303030303
The cameraman,68.0,21.0,911.0,0.76404494382,0.23595505618
The butler,85.0,34.0,881.0,0.714285714286,0.285714285714
The comic,75.0,35.0,890.0,0.681818181818,0.318181818182
