token,male_count,female_count,unbiased_count,male_perc,female_perc
The stockbroker,68.0,20.0,912.0,0.772727272727,0.227272727273
The mobster,78.0,18.0,904.0,0.8125,0.1875
The editor,89.0,36.0,875.0,0.712,0.288
The parliamentarian,87.0,31.0,882.0,0.737288135593,0.262711864407
The marksman,83.0,24.0,893.0,0.775700934579,0.224299065421
The composer,131.0,26.0,843.0,0.834394904459,0.165605095541
The administrator,101.0,19.0,880.0,0.841666666667,0.158333333333
The physician,103.0,28.0,869.0,0.786259541985,0.213740458015
The crooner,99.0,27.0,874.0,0.785714285714,0.214285714286
The baron,119.0,35.0,846.0,0.772727272727,0.227272727273
The pundit,64.0,21.0,915.0,0.752941176471,0.247058823529
The doctor,101.0,69.0,830.0,0.594117647059,0.405882352941
The curator,79.0,31.0,890.0,0.718181818182,0.281818181818
The electrician,65.0,27.0,908.0,0.70652173913,0.29347826087
The archbishop,117.0,27.0,856.0,0.8125,0.1875
The laborer,81.0,21.0,898.0,0.794117647059,0.205882352941
The astronaut,131.0,30.0,839.0,0.813664596273,0.186335403727
The researcher,131.0,37.0,832.0,0.779761904762,0.220238095238
The colonel,120.0,28.0,852.0,0.810810810811,0.189189189189
The anthropologist,64.0,20.0,916.0,0.761904761905,0.238095238095
The footballer,97.0,23.0,880.0,0.808333333333,0.191666666667
The campaigner,110.0,29.0,861.0,0.791366906475,0.208633093525
The scholar,96.0,21.0,883.0,0.820512820513,0.179487179487
The alderman,65.0,31.0,904.0,0.677083333333,0.322916666667
The tycoon,94.0,27.0,879.0,0.776859504132,0.223140495868
The minister,128.0,18.0,854.0,0.876712328767,0.123287671233
The photojournalist,60.0,21.0,919.0,0.740740740741,0.259259259259
The midfielder,236.0,12.0,752.0,0.951612903226,0.0483870967742
The provost,59.0,19.0,922.0,0.75641025641,0.24358974359
The narrator,84.0,25.0,891.0,0.770642201835,0.229357798165
The consultant,133.0,35.0,832.0,0.791666666667,0.208333333333
The custodian,61.0,26.0,913.0,0.701149425287,0.298850574713
The welder,75.0,30.0,895.0,0.714285714286,0.285714285714
The trader,105.0,30.0,865.0,0.777777777778,0.222222222222
The serviceman,76.0,28.0,896.0,0.730769230769,0.269230769231
The officer,206.0,31.0,763.0,0.869198312236,0.130801687764
The assistant professor,109.0,22.0,869.0,0.832061068702,0.167938931298
The pharmacist,92.0,24.0,884.0,0.793103448276,0.206896551724
The evangelist,79.0,11.0,910.0,0.877777777778,0.122222222222
The warrior,89.0,23.0,888.0,0.794642857143,0.205357142857
The surgeon,121.0,35.0,844.0,0.775641025641,0.224358974359
The barber,62.0,19.0,919.0,0.765432098765,0.234567901235
The bodyguard,84.0,19.0,897.0,0.815533980583,0.184466019417
The saint,106.0,28.0,866.0,0.791044776119,0.208955223881
The lawmaker,123.0,32.0,845.0,0.793548387097,0.206451612903
The trumpeter,68.0,19.0,913.0,0.781609195402,0.218390804598
The broadcaster,145.0,30.0,825.0,0.828571428571,0.171428571429
The cameraman,82.0,30.0,888.0,0.732142857143,0.267857142857
The butler,114.0,21.0,865.0,0.844444444444,0.155555555556
The comic,72.0,21.0,907.0,0.774193548387,0.225806451613
