token,male_count,female_count,unbiased_count,male_perc,female_perc
The stockbroker,77.0,25.0,898.0,0.754901960784,0.245098039216
The mobster,82.0,23.0,895.0,0.780952380952,0.219047619048
The editor,104.0,41.0,855.0,0.71724137931,0.28275862069
The parliamentarian,92.0,43.0,865.0,0.681481481481,0.318518518519
The marksman,92.0,31.0,877.0,0.747967479675,0.252032520325
The composer,137.0,42.0,821.0,0.765363128492,0.234636871508
The administrator,116.0,22.0,862.0,0.840579710145,0.159420289855
The physician,109.0,39.0,852.0,0.736486486486,0.263513513514
The crooner,112.0,33.0,855.0,0.772413793103,0.227586206897
The baron,131.0,42.0,827.0,0.757225433526,0.242774566474
The pundit,70.0,27.0,903.0,0.721649484536,0.278350515464
The doctor,109.0,83.0,808.0,0.567708333333,0.432291666667
The curator,91.0,40.0,869.0,0.69465648855,0.30534351145
The electrician,77.0,34.0,889.0,0.693693693694,0.306306306306
The archbishop,131.0,31.0,838.0,0.808641975309,0.191358024691
The laborer,93.0,28.0,879.0,0.768595041322,0.231404958678
The astronaut,135.0,39.0,826.0,0.775862068966,0.224137931034
The researcher,138.0,51.0,811.0,0.730158730159,0.269841269841
The colonel,134.0,37.0,829.0,0.783625730994,0.216374269006
The anthropologist,69.0,32.0,899.0,0.683168316832,0.316831683168
The footballer,104.0,29.0,867.0,0.781954887218,0.218045112782
The campaigner,114.0,42.0,844.0,0.730769230769,0.269230769231
The scholar,106.0,29.0,865.0,0.785185185185,0.214814814815
The alderman,73.0,37.0,890.0,0.663636363636,0.336363636364
The tycoon,108.0,35.0,857.0,0.755244755245,0.244755244755
The minister,140.0,22.0,838.0,0.864197530864,0.135802469136
The photojournalist,68.0,33.0,899.0,0.673267326733,0.326732673267
The midfielder,249.0,14.0,737.0,0.946768060837,0.0532319391635
The provost,72.0,29.0,899.0,0.712871287129,0.287128712871
The narrator,91.0,30.0,879.0,0.752066115702,0.247933884298
The consultant,138.0,42.0,820.0,0.766666666667,0.233333333333
The custodian,73.0,30.0,897.0,0.708737864078,0.291262135922
The welder,91.0,36.0,873.0,0.716535433071,0.283464566929
The trader,107.0,39.0,854.0,0.732876712329,0.267123287671
The serviceman,83.0,31.0,886.0,0.728070175439,0.271929824561
The officer,218.0,44.0,738.0,0.832061068702,0.167938931298
The assistant professor,122.0,25.0,853.0,0.829931972789,0.170068027211
The pharmacist,106.0,31.0,863.0,0.773722627737,0.226277372263
The evangelist,83.0,17.0,900.0,0.83,0.17
The warrior,101.0,28.0,871.0,0.782945736434,0.217054263566
The surgeon,129.0,48.0,823.0,0.728813559322,0.271186440678
The barber,68.0,27.0,905.0,0.715789473684,0.284210526316
The bodyguard,93.0,28.0,879.0,0.768595041322,0.231404958678
The saint,114.0,38.0,848.0,0.75,0.25
The lawmaker,133.0,44.0,823.0,0.751412429379,0.248587570621
The trumpeter,81.0,33.0,886.0,0.710526315789,0.289473684211
The broadcaster,150.0,34.0,816.0,0.815217391304,0.184782608696
The cameraman,90.0,33.0,877.0,0.731707317073,0.268292682927
The butler,125.0,27.0,848.0,0.822368421053,0.177631578947
The comic,83.0,23.0,894.0,0.783018867925,0.216981132075
